TimeStamp,userid,qid,qcount,q1,q2,q3,q4,total,message,hint_no,topic,level
"2021-08-26 15:03:56,895",,,,,,,,,Login Page,,,
"2021-08-26 15:04:03,409",1,,,,,,,,Logged In,,,
"2021-08-26 15:04:03,417",1,,,,,,,,Home Page,,,
"2021-08-26 15:04:12,963",1,,,,,,,,Choosing Question,,Algebra,Intermediate
"2021-08-26 15:04:15,031",1,AI2,1,,,,,,,,,
"2021-08-26 15:04:20,252",1,AI2,2,,,,,,,,,
"2021-08-26 15:04:22,010",1,AI2,,,,,,,,1,,
"2021-08-26 15:04:33,141",1,AI2,3,,,,,,,,,
"2021-08-26 15:04:38,567",1,AI2,4,,,,,,,,,
"2021-08-26 15:04:41,262",1,AI2,,25,20,25,25,95,,,,
"2021-08-26 15:04:41,281",1,,,,,,,,Home Page,,,
"2021-08-26 15:04:46,560",1,,,,,,,,Choosing Question,,Fractions,Intermediate
"2021-08-26 15:04:48,211",1,FI3,1,,,,,,,,,
"2021-08-26 15:04:53,881",1,FI3,2,,,,,,,,,
"2021-08-26 15:04:58,669",1,FI3,3,,,,,,,,,
"2021-08-26 15:05:00,626",1,FI3,,,,,,,,1,,
"2021-08-26 15:05:10,472",1,FI3,4,,,,,,,,,
"2021-08-26 15:05:14,913",1,FI3,,25,25,20,25,95,,,,
"2021-08-26 15:05:14,934",1,,,,,,,,Home Page,,,
"2021-08-26 15:05:19,876",1,,,,,,,,Choosing Question,,Algebra,Easy
"2021-08-26 15:05:22,294",1,AE1,5,,,,,,,,,
"2021-08-26 15:05:32,564",1,AE1,6,,,,,,,,,
"2021-08-26 15:05:34,297",1,AE1,,,,,,,,1,,
"2021-08-26 15:05:37,503",1,AE1,7,,,,,,,,,
"2021-08-26 15:05:38,459",1,AE1,8,,,,,,,,,
"2021-08-26 15:05:40,634",1,AE1,,25,20,25,25,95,,,,
"2021-08-26 15:05:40,660",1,AE1,9,,,,,,,,,
"2021-08-26 15:05:46,122",1,,,,,,,,Home Page,,,
"2021-08-26 15:05:48,327",1,,,,,,,,Logged out,,,
"2021-08-26 15:36:44,898",,,,,,,,,Login Page,,,
"2021-08-26 15:36:49,624",3,,,,,,,,Logged In,,,
"2021-08-26 15:36:49,630",3,,,,,,,,Home Page,,,
"2021-08-26 15:37:01,213",3,,,,,,,,Choosing Question,,Fractions,Intermediate
"2021-08-26 15:37:03,533",3,FI1,1,,,,,,,,,
"2021-08-26 15:37:20,349",3,FI1,4,,,,,,,,,
"2021-08-26 15:37:22,918",3,FI1,,25,25,25,25,100,,,,
"2021-08-26 15:37:22,939",3,,,,,,,,Home Page,,,
"2021-08-26 15:38:31,103",3,,,,,,,,Home Page,,,
"2021-08-26 15:38:33,715",3,,,,,,,,Choosing Question,,Fractions,Intermediate
"2021-08-26 15:38:34,830",3,FI1,5,,,,,,,,,
"2021-08-26 15:38:47,428",3,FI1,8,,,,,,,,,
"2021-08-26 15:38:49,305",3,FI1,,25,25,25,25,100,,,,
"2021-08-26 15:38:49,336",3,,,,,,,,Home Page,,,
"2021-08-26 15:39:43,991",3,,,,,,,,Home Page,,,
"2021-08-26 15:39:46,274",3,,,,,,,,Choosing Question,,Fractions,Intermediate
"2021-08-26 15:39:47,327",3,FI1,1,,,,,,,,,
"2021-08-26 15:39:49,065",3,FI1,1,,,,,,End,,,
"2021-08-26 15:39:52,081",3,FI1,2,,,,,,,,,
"2021-08-26 15:41:10,598",3,FI1,2,,,,,,End,,,
"2021-08-26 15:41:13,604",3,FI1,3,,,,,,,,,
"2021-08-26 15:45:10,248",3,FI1,3,,,,,,End,,,
"2021-08-26 15:45:13,261",3,FI1,4,,,,,,,,,
"2021-08-26 15:45:16,567",3,FI1,,25,25,25,25,100,,,,
"2021-08-26 15:45:16,598",3,,,,,,,,Home Page,,,
"2021-08-26 15:48:21,807",3,,,,,,,,Home Page,,,
"2021-08-26 15:48:29,842",3,,,,,,,,Choosing Question,,Fractions,Intermediate
"2021-08-26 15:48:35,516",3,FI1,1,,,,,,,,,
"2021-08-26 15:48:37,508",3,FI1,1,,,,,,End,,,
"2021-08-26 15:48:40,513",3,FI1,2,,,,,,,,,
"2021-08-26 15:48:43,290",3,FI1,2,,,,,,End,,,
"2021-08-26 15:48:46,294",3,FI1,3,,,,,,,,,
"2021-08-26 15:48:47,398",3,FI1,3,,,,,,End,,,
"2021-08-26 15:48:50,408",3,FI1,4,,,,,,,,,
"2021-08-26 15:48:51,644",3,FI1,4,,,,,,End,,,
